country;site;species;ID;Ncensus;diameter;CE;repro;flo;unripefru;ripefru;fru
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-2-2-371;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-2-3-649;94;19;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-3-4-531;94;42;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-5-3-114;94;17;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-5-4-111;94;35;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-6-2-204;94;18;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-6-2-644;94;18;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-6-2-66;94;47;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;1-6-4-358;94;27;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;2-1-2-627;94;28;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;2-2-4-507;94;19;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;2-3-4-348;94;23;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Afzelia_bipindensis;2-4-3-142;94;69;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-1-1-521;57;104;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-1-1-82;57;19;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-2-2-235;57;37;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-2-4-38;57;53;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-3-1-130;57;28;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-3-2-660;57;37;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-4-3-130;57;41;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-4-3-217;57;36;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-4-3-646;57;36;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-5-2-676;57;59;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-5-3-776;57;42;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-6-1-436;57;43;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Autranella_congolensis;1-6-3-435;57;23;NA;0;0;NA;NA;0
Cameroon;Mindourou2;Baillonella_toxisperma;22;26;65.3;emergent;1;1;0;1;NA
Cameroon;Mindourou2;Baillonella_toxisperma;23;33;20.8;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;24;31;22.2;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;25;31;109.3;canopy;1;1;1;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;26;33;23.4;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;27;33;24.9;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;28;33;27.3;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;30;29;38.1;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;31;30;32.5;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;32;30;41.6;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;33;12;45.4;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;46;17;45.5;emergent;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;49;33;31.4;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;50;33;57.8;canopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;51;33;47.6;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;52;33;37.7;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;53;33;77;canopy;1;1;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;54;33;44.8;emergent;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;55;33;39.3;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;56;33;27.1;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;57;17;25;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;58;33;22.1;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;59;33;20.6;canopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;60;33;24.4;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;61;33;25.1;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;62;33;27.3;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;63;18;36.2;emergent;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;64;33;35.4;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;65;33;20.3;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;66;33;30.5;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;67;33;34.7;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;68;33;41.6;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;69;33;25;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;70;31;43.3;canopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;71;33;32.7;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;72;33;140;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;73;33;34.3;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;74;33;33.8;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;75;33;32;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;76;33;45;subcanopy;0;0;0;0;NA
Cameroon;Mindourou2;Baillonella_toxisperma;79;32;48.5;subcanopy;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;1;32;64.2;emergent;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;12;32;24.6;subcanopy;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;13;32;32.7;subcanopy;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;15;32;39.7;subcanopy;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;16;33;96.3;canopy;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;17;33;43.5;subcanopy;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;2;15;93.8;emergent;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;3;32;79.5;canopy;1;0;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;34;30;86.9;canopy;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;35;32;70.2;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;36;32;86;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;37;32;94.1;emergent;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;38;32;91.7;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;39;32;103.4;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;4;32;28.1;emergent;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;40;32;96.5;emergent;1;1;1;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;41;32;91;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;42;32;106.9;canopy;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;43;32;92.9;canopy;1;1;0;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;5;32;88.4;emergent;1;1;1;1;NA
Cameroon;Mindourou3;Baillonella_toxisperma;6;32;69.1;emergent;0;0;0;0;NA
Cameroon;Mindourou3;Baillonella_toxisperma;8;32;35.5;emergent;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-1-2-201;57;21;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-1-2-44;57;26;NA;0;0;NA;NA;0
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-1-3-403;57;61;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-2-2-565;57;16;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-2-3-36;57;36;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-3-1-470;57;27;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-3-4-473;57;56;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-4-1-174;57;76;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-5-1-200;57;36;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Celtis_zenkeri;1-6-3-606;57;78;NA;1;1;NA;NA;1
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-1-1-649;94;34;NA;1;1;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-181;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-191;94;32;NA;1;1;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-199;94;33;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-202;94;49;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-223;94;28;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-235;94;49;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-280;94;37;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-314;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-395;94;55;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-448;94;66;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-496;94;35;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-519;94;36;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-530;94;37;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-1-659;94;32;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-111;94;34;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-229;94;43;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-234;94;56;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-26;94;25;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-274;94;43;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-355;94;21;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-400;94;24;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-474;94;26;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-55;94;24;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-628;94;33;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-2-85;94;25;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-3-358;94;42;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-3-412;94;35;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-3-431;94;32;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-3-501;94;33;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-4-238;94;48;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-2-4-294;94;44;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-3-1-698;94;47;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-3-2-361;94;37;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-3-4-60;94;36;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-4-3-436;94;23;NA;1;0;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-4-3-482;94;24;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-5-1-409;94;22;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-5-1-754;94;26;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-5-3-327;94;46;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;1-5-3-478;94;54;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-1-1-96;94;43;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-1-2-710;94;25;NA;1;1;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-1-3-367;94;39;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-1-3-41;94;33;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-2-4-508;94;22;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-2-4-629;94;28;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-3-3-607;94;30;NA;1;1;1;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-4-3-171;94;34;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-4-3-193;94;38;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-4-3-348;94;31;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_boukokoense;2-4-4-327;94;40;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-2-2-605;94;77;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-1-431;94;32;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-452;94;55;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-459;94;72;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-479;94;31;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-573;94;24;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-578;94;33;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-582;94;24;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-2-585;94;31;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-3-3-219;94;35;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-1-174;94;24;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-1-517;94;60;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-1-607;94;25;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-1-720;94;25;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-2-133;94;32;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-5-4-503;94;37;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-1-104;94;38;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-1-154;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-1-227;94;30;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-2-132;94;39;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-2-152;94;29;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-2-260;94;46;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-4-517;94;51;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;1-6-4-530;94;41;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;2-1-2-640;94;66;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;2-3-4-424;94;32;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_lacourtianum;2-4-4-428;94;39;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-1-1-692;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-1-145;94;62;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-1-298;94;46;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-1-375;94;28;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-1-698;94;27;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-2-508;94;35;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-3-304;94;35;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-3-333;94;49;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-3-379;94;28;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-2-4-459;94;38;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-1-308;94;39;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-2-167;94;32;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-2-310;94;95;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-2-376;94;21;NA;1;0;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-2-511;94;42;NA;1;0;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-2-548;94;51;NA;1;0;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-3-33;94;40;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-4-383;94;46;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-3-4-496;94;33;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-4-4-401;94;50;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-5-1-736;94;27;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-5-2-601;94;25;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-5-2-657;94;46;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-5-2-78;94;36;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-5-4-95;94;24;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-1-224;94;26;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-1-241;94;105;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-1-645;94;36;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-2-116;94;35;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-2-20;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-3-522;94;76;NA;1;0;0;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-4-191;94;26;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;1-6-4-80;94;24;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-1-4-352;94;99;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-2-3-2;94;23;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-2-4-42;94;58;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-3-1-405;94;49;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-4-1-479;94;32;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-4-2-282;94;28;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-4-3-183;94;46;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-4-4-341;94;46;NA;1;1;0;0;NA
CentralAfricanRepublic;MBaïki;Chrysophyllum_perpulchrum;2-4-4-521;94;57;NA;0;0;0;0;NA
Congo;Pokola1;Detarium_macrocarpum;10;71;75.9;emergent;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;11;71;81.6;canopy;1;1;0;0;NA
Congo;Pokola1;Detarium_macrocarpum;12;71;75.2;emergent;1;0;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;13;71;89.3;canopy;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;15;71;67.1;emergent;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;17;71;94.1;emergent;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;18;71;119.9;emergent;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;19;71;91.8;canopy;1;0;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;22;71;13.2;subcanopy;1;0;0;1;NA
Congo;Pokola1;Detarium_macrocarpum;23;71;43.7;canopy;0;0;0;0;NA
Congo;Pokola1;Detarium_macrocarpum;3;71;107.6;canopy;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;4;71;86.5;canopy;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;6;71;76.8;canopy;1;0;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;8;71;29.4;subcanopy;1;1;1;1;NA
Congo;Pokola1;Detarium_macrocarpum;9;71;73.3;emergent;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-1-1-112;94;68;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-1-1-515;94;32;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-1-2-200;94;92;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-2-90;94;48;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-3-1-589;94;55;NA;1;1;0;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-3-4-350;94;65;NA;1;1;1;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-4-1-259;94;31;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-4-3-334;94;46;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-5-2-508;94;97;NA;1;0;1;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-6-2-118;94;47;NA;1;0;0;1;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-1-1-488;94;26;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-1-2-368;94;36;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-1-140;94;26;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-1-257;94;22;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-1-598;94;37;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-2-54;94;40;NA;0;0;0;0;NA
CentralAfricanRepublic;MBaïki;Entandrophragma_angolense;1-2-2-613;94;24;NA;0;0;0;0;NA
